2024-12-13 21:03:24,341 Starting experiment run_id=final_run
2024-12-13 21:03:24,683 Running seed 0
2024-12-13 22:30:19,581 [Supervised] Seed 2 Epoch 4/50: Train Loss 0.9115, Val Loss 0.5304
2024-12-13 22:30:35,375 [Supervised] Seed 2 Epoch 5/50: Train Loss 0.9100, Val Loss 0.5304
2024-12-13 22:30:50,450 [Supervised] Seed 2 Epoch 6/50: Train Loss 0.9092, Val Loss 0.5357
2024-12-13 22:31:06,582 [Supervised] Seed 2 Epoch 7/50: Train Loss 0.9099, Val Loss 0.5290
2024-12-13 22:31:22,840 [Supervised] Seed 2 Epoch 8/50: Train Loss 0.9079, Val Loss 0.5320
2024-12-13 22:31:37,921 [Supervised] Seed 2 Epoch 9/50: Train Loss 0.9080, Val Loss 0.5327
2024-12-13 22:31:53,046 [Supervised] Seed 2 Epoch 10/50: Train Loss 0.9089, Val Loss 0.5290
2024-12-13 22:32:09,714 [Supervised] Seed 2 Epoch 11/50: Train Loss 0.9069, Val Loss 0.5283
2024-12-13 22:32:27,245 [Supervised] Seed 2 Epoch 12/50: Train Loss 0.9070, Val Loss 0.5304
2024-12-13 22:32:45,943 [Supervised] Seed 2 Epoch 13/50: Train Loss 0.9068, Val Loss 0.5298
2024-12-13 22:33:07,044 [Supervised] Seed 2 Epoch 14/50: Train Loss 0.9058, Val Loss 0.5270
2024-12-13 22:33:28,027 [Supervised] Seed 2 Epoch 15/50: Train Loss 0.9060, Val Loss 0.5293
2024-12-13 22:33:48,081 [Supervised] Seed 2 Epoch 16/50: Train Loss 0.9057, Val Loss 0.5234
2024-12-13 22:34:08,837 [Supervised] Seed 2 Epoch 17/50: Train Loss 0.9036, Val Loss 0.5235
2024-12-13 22:34:28,337 [Supervised] Seed 2 Epoch 18/50: Train Loss 0.9044, Val Loss 0.5302
2024-12-13 22:34:48,026 [Supervised] Seed 2 Epoch 19/50: Train Loss 0.9044, Val Loss 0.5254
2024-12-13 22:35:09,013 [Supervised] Seed 2 Epoch 20/50: Train Loss 0.9037, Val Loss 0.5227
2024-12-13 22:35:29,462 [Supervised] Seed 2 Epoch 21/50: Train Loss 0.9032, Val Loss 0.5280
2024-12-13 22:35:49,426 [Supervised] Seed 2 Epoch 22/50: Train Loss 0.9026, Val Loss 0.5189
2024-12-13 22:36:09,547 [Supervised] Seed 2 Epoch 23/50: Train Loss 0.9020, Val Loss 0.5218
2024-12-13 22:36:30,512 [Supervised] Seed 2 Epoch 24/50: Train Loss 0.9035, Val Loss 0.5262
2024-12-13 22:36:50,702 [Supervised] Seed 2 Epoch 25/50: Train Loss 0.9027, Val Loss 0.5187
2024-12-13 22:37:11,364 [Supervised] Seed 2 Epoch 26/50: Train Loss 0.8980, Val Loss 0.5176
2024-12-13 22:37:32,468 [Supervised] Seed 2 Epoch 27/50: Train Loss 0.8964, Val Loss 0.5177
2024-12-13 22:37:53,114 [Supervised] Seed 2 Epoch 28/50: Train Loss 0.8953, Val Loss 0.5133
2024-12-13 22:38:13,930 [Supervised] Seed 2 Epoch 29/50: Train Loss 0.8934, Val Loss 0.5141
2024-12-13 22:38:33,741 [Supervised] Seed 2 Epoch 30/50: Train Loss 0.8929, Val Loss 0.5186
2024-12-13 22:38:53,824 [Supervised] Seed 2 Epoch 31/50: Train Loss 0.8951, Val Loss 0.5180
2024-12-13 22:39:13,511 [Supervised] Seed 2 Epoch 32/50: Train Loss 0.8925, Val Loss 0.5171
2024-12-13 22:39:32,415 [Supervised] Seed 2 Epoch 33/50: Train Loss 0.8941, Val Loss 0.5130
2024-12-13 22:39:52,816 [Supervised] Seed 2 Epoch 34/50: Train Loss 0.8942, Val Loss 0.5130
2024-12-13 22:40:13,695 [Supervised] Seed 2 Epoch 35/50: Train Loss 0.8925, Val Loss 0.5150
2024-12-13 22:40:33,448 [Supervised] Seed 2 Epoch 36/50: Train Loss 0.8933, Val Loss 0.5141
2024-12-13 22:40:53,023 [Supervised] Seed 2 Epoch 37/50: Train Loss 0.8917, Val Loss 0.5114
2024-12-13 22:41:09,969 [Supervised] Seed 2 Epoch 38/50: Train Loss 0.8979, Val Loss 0.5159
2024-12-13 22:41:30,359 [Supervised] Seed 2 Epoch 39/50: Train Loss 0.8932, Val Loss 0.5150
2024-12-13 22:41:50,780 [Supervised] Seed 2 Epoch 40/50: Train Loss 0.8916, Val Loss 0.5138
2024-12-13 22:42:11,699 [Supervised] Seed 2 Epoch 41/50: Train Loss 0.8922, Val Loss 0.5105
2024-12-13 22:42:32,457 [Supervised] Seed 2 Epoch 42/50: Train Loss 0.8920, Val Loss 0.5141
2024-12-13 22:42:53,030 [Supervised] Seed 2 Epoch 43/50: Train Loss 0.8924, Val Loss 0.5147
2024-12-13 22:43:13,737 [Supervised] Seed 2 Epoch 44/50: Train Loss 0.8950, Val Loss 0.5133
2024-12-13 22:43:32,949 [Supervised] Seed 2 Epoch 45/50: Train Loss 0.8941, Val Loss 0.5132
2024-12-13 22:43:52,971 [Supervised] Seed 2 Epoch 46/50: Train Loss 0.8919, Val Loss 0.5133
2024-12-13 22:44:13,639 [Supervised] Seed 2 Epoch 47/50: Train Loss 0.8921, Val Loss 0.5126
2024-12-13 22:44:31,766 [Supervised] Seed 2 Epoch 48/50: Train Loss 0.8906, Val Loss 0.5119
2024-12-13 22:44:50,863 [Supervised] Seed 2 Epoch 49/50: Train Loss 0.8909, Val Loss 0.5110
2024-12-13 22:45:10,420 [Supervised] Seed 2 Epoch 50/50: Train Loss 0.8899, Val Loss 0.5121
2024-12-13 22:45:26,628 Experiment complete. Results saved.
